  -6.0000000e+03  -2.1599725e+01   5.5917225e+01   9.8166090e+00   5.9187760e+00   0.0000000e+00   0.0000000e+00
  -5.9950000e+03  -2.1304277e+01   5.6286895e+01   9.4744671e+00   5.7266383e+00   0.0000000e+00   0.0000000e+00
  -5.9900000e+03  -2.1009677e+01   5.6655604e+01   9.1653693e+00   5.5395997e+00   0.0000000e+00   0.0000000e+00
  -5.9850000e+03  -2.0716452e+01   5.7022729e+01   8.8875750e+00   5.3577402e+00   0.0000000e+00   0.0000000e+00
  -5.9800000e+03  -2.0425127e+01   5.7387650e+01   8.6393434e+00   5.1811398e+00   0.0000000e+00   0.0000000e+00
  -5.9750000e+03  -2.0136225e+01   5.7749744e+01   8.4189337e+00   5.0098782e+00   0.0000000e+00   0.0000000e+00
  -5.9700000e+03  -1.9850273e+01   5.8108389e+01   8.2246053e+00   4.8440355e+00   0.0000000e+00   0.0000000e+00
  -5.9650000e+03  -1.9567795e+01   5.8462964e+01   8.0546175e+00   4.6836915e+00   0.0000000e+00   0.0000000e+00
  -5.9600000e+03  -1.9289317e+01   5.8812846e+01   7.9072295e+00   4.5289261e+00   0.0000000e+00   0.0000000e+00
  -5.9550000e+03  -1.9015364e+01   5.9157414e+01   7.7807005e+00   4.3798193e+00   0.0000000e+00   0.0000000e+00
  -5.9500000e+03  -1.8746460e+01   5.9496046e+01   7.6732900e+00   4.2364510e+00   0.0000000e+00   0.0000000e+00
  -5.9450000e+03  -1.8483131e+01   5.9828120e+01   7.5832571e+00   4.0989011e+00   0.0000000e+00   0.0000000e+00
  -5.9400000e+03  -1.8225902e+01   6.0153014e+01   7.5088612e+00   3.9672494e+00   0.0000000e+00   0.0000000e+00
  -5.9350000e+03  -1.7975297e+01   6.0470106e+01   7.4483615e+00   3.8415760e+00   0.0000000e+00   0.0000000e+00
  -5.9300000e+03  -1.7731843e+01   6.0778775e+01   7.4000172e+00   3.7219606e+00   0.0000000e+00   0.0000000e+00
  -5.9250000e+03  -1.7496063e+01   6.1078398e+01   7.3620878e+00   3.6084833e+00   0.0000000e+00   0.0000000e+00
  -5.9200000e+03  -1.7268484e+01   6.1368354e+01   7.3328324e+00   3.5012239e+00   0.0000000e+00   0.0000000e+00
  -5.9150000e+03  -1.7049630e+01   6.1648021e+01   7.3105103e+00   3.4002624e+00   0.0000000e+00   0.0000000e+00
  -5.9100000e+03  -1.6840026e+01   6.1916776e+01   7.2933809e+00   3.3056786e+00   0.0000000e+00   0.0000000e+00
  -5.9050000e+03  -1.6640197e+01   6.2173999e+01   7.2797034e+00   3.2175525e+00   0.0000000e+00   0.0000000e+00
  -5.9000000e+03  -1.6450669e+01   6.2419067e+01   7.2677370e+00   3.1359640e+00   0.0000000e+00   0.0000000e+00
  -5.8950000e+03  -1.6271925e+01   6.2651368e+01   7.2557933e+00   3.0608947e+00   0.0000000e+00   0.0000000e+00
  -5.8900000e+03  -1.6104281e+01   6.2870332e+01   7.2423924e+00   2.9919335e+00   0.0000000e+00   0.0000000e+00
  -5.8850000e+03  -1.5948014e+01   6.3075396e+01   7.2261068e+00   2.9285707e+00   0.0000000e+00   0.0000000e+00
  -5.8800000e+03  -1.5803399e+01   6.3266000e+01   7.2055088e+00   2.8702970e+00   0.0000000e+00   0.0000000e+00
  -5.8750000e+03  -1.5670711e+01   6.3441583e+01   7.1791708e+00   2.8166028e+00   0.0000000e+00   0.0000000e+00
  -5.8700000e+03  -1.5550226e+01   6.3601583e+01   7.1456652e+00   2.7669787e+00   0.0000000e+00   0.0000000e+00
  -5.8650000e+03  -1.5442219e+01   6.3745440e+01   7.1035645e+00   2.7209152e+00   0.0000000e+00   0.0000000e+00
  -5.8600000e+03  -1.5346966e+01   6.3872591e+01   7.0514409e+00   2.6779027e+00   0.0000000e+00   0.0000000e+00
  -5.8550000e+03  -1.5264742e+01   6.3982476e+01   6.9878670e+00   2.6374318e+00   0.0000000e+00   0.0000000e+00
  -5.8500000e+03  -1.5195823e+01   6.4074534e+01   6.9114150e+00   2.5989930e+00   0.0000000e+00   0.0000000e+00
  -5.8450000e+03  -1.5140182e+01   6.4148389e+01   6.8214216e+00   2.5622290e+00   0.0000000e+00   0.0000000e+00
  -5.8400000e+03  -1.5096585e+01   6.4204412e+01   6.7202803e+00   2.5273909e+00   0.0000000e+00   0.0000000e+00
  -5.8350000e+03  -1.5063495e+01   6.4243158e+01   6.6111487e+00   2.4948822e+00   0.0000000e+00   0.0000000e+00
  -5.8300000e+03  -1.5039377e+01   6.4265184e+01   6.4971845e+00   2.4651062e+00   0.0000000e+00   0.0000000e+00
  -5.8250000e+03  -1.5022692e+01   6.4271044e+01   6.3815454e+00   2.4384662e+00   0.0000000e+00   0.0000000e+00
  -5.8200000e+03  -1.5011906e+01   6.4261296e+01   6.2673891e+00   2.4153657e+00   0.0000000e+00   0.0000000e+00
  -5.8150000e+03  -1.5005482e+01   6.4236495e+01   6.1578732e+00   2.3962080e+00   0.0000000e+00   0.0000000e+00
  -5.8100000e+03  -1.5001882e+01   6.4197196e+01   6.0561555e+00   2.3813964e+00   0.0000000e+00   0.0000000e+00
  -5.8050000e+03  -1.4999572e+01   6.4143957e+01   5.9653935e+00   2.3713342e+00   0.0000000e+00   0.0000000e+00
  -5.8000000e+03  -1.4997014e+01   6.4077333e+01   5.8887450e+00   2.3664250e+00   0.0000000e+00   0.0000000e+00
  -5.7950000e+03  -1.4992649e+01   6.3998125e+01   5.8286164e+00   2.3668899e+00   0.0000000e+00   0.0000000e+00
