  -1.5951036e+03  -1.3240582e+01   2.3495466e+01   5.0428867e+00   4.6648088e+00
  -1.5912877e+03  -1.2984267e+01   2.4464702e+01   4.8896396e+00   4.5229808e+00
  -1.5874719e+03  -1.2728195e+01   2.5432787e+01   4.7447780e+00   4.3861449e+00
  -1.5836560e+03  -1.2472597e+01   2.6398633e+01   4.6091349e+00   4.2548177e+00
  -1.5798402e+03  -1.2217711e+01   2.7361119e+01   4.4835329e+00   4.1295104e+00
  -1.5760243e+03  -1.1963772e+01   2.8319127e+01   4.3687601e+00   4.0107183e+00
  -1.5722085e+03  -1.1711018e+01   2.9271537e+01   4.2655474e+00   3.8989111e+00
  -1.5683927e+03  -1.1459686e+01   3.0217228e+01   4.1745414e+00   3.7945218e+00
  -1.5645768e+03  -1.1210014e+01   3.1155082e+01   4.0962767e+00   3.6979346e+00
  -1.5607610e+03  -1.0962237e+01   3.2083978e+01   4.0311480e+00   3.6094713e+00
  -1.5569451e+03  -1.0716593e+01   3.3002796e+01   3.9793853e+00   3.5293782e+00
  -1.5531293e+03  -1.0473320e+01   3.3910418e+01   3.9410344e+00   3.4578130e+00
  -1.5493134e+03  -1.0232653e+01   3.4805723e+01   3.9159459e+00   3.3948336e+00
  -1.5454976e+03  -9.9948307e+00   3.5687592e+01   3.9037723e+00   3.3403893e+00
  -1.5416817e+03  -9.7600892e+00   3.6554904e+01   3.9039762e+00   3.2943156e+00
  -1.5378659e+03  -9.5286657e+00   3.7406541e+01   3.9158476e+00   3.2563328e+00
  -1.5340501e+03  -9.3007972e+00   3.8241383e+01   3.9385281e+00   3.2260497e+00
  -1.5302342e+03  -9.0767208e+00   3.9058309e+01   3.9710407e+00   3.2029715e+00
  -1.5264184e+03  -8.8566735e+00   3.9856201e+01   4.0123219e+00   3.1865110e+00
  -1.5226025e+03  -8.6408922e+00   4.0633938e+01   4.0612524e+00   3.1760044e+00
  -1.5187867e+03  -8.4296136e+00   4.1390403e+01   4.1166871e+00   3.1707293e+00
  -1.5149708e+03  -8.2230692e+00   4.2124502e+01   4.1774846e+00   3.1699338e+00
  -1.5111550e+03  -8.0214702e+00   4.2835206e+01   4.2425366e+00   3.1728782e+00
  -1.5073391e+03  -7.8249951e+00   4.3521585e+01   4.3107900e+00   3.1788634e+00
  -1.5035233e+03  -7.6337935e+00   4.4182813e+01   4.3812586e+00   3.1872455e+00
  -1.4997075e+03  -7.4479963e+00   4.4818168e+01   4.4530264e+00   3.1974396e+00
  -1.4958916e+03  -7.2677106e+00   4.5427023e+01   4.5252519e+00   3.2089140e+00
