1180	13.92	54.69	1.14	0.66	56.18	1.98
1200	14.79	54.02	1.07	0.63	54.42	2.08
1220	13.82	53.27	1.11	0.66	52.91	2.02
1240	12.76	52.31	1.12	0.69	51.81	1.78
1260	13.06	50.95	0.76	0.48	51.22	1.43
1280	11.66	49.96	0.77	0.49	51	1.18
1300	7.94	49.48	0.70	0.45	51.05	1.05
1320	5.93	49.82	0.58	0.37	51.47	1.10
1340	6.85	51.75	0.82	0.51	52.32	1.40
1360	7.3	53.85	0.80	0.47	53.35	1.79
1380	5.4	55.54	0.85	0.48	54.03	2.05
1400	2.3	57.05	1.08	0.58	53.89	2.03
1420	-0.61	58.78	1.58	0.82	52.72	1.67
1440	-1.09	60.58	1.99	0.98	50.83	1.19
1460	1.15	61.55	2.23	1.06	49.2	1.15
1480	4.57	61.24	2.49	1.20	48.49	1.27
1500	7.57	60.21	2.31	1.15	48.83	1.27
1520	9.09	59.78	1.56	0.79	49.84	1.14
1540	9.3	60.84	1.03	0.50	50.94	1.06
1560	9.93	62.72	1.38	0.63	52.08	1.14
1580	12.16	64.46	1.60	0.69	53.19	0.85
1600	12.75	65.7	1.35	0.56	53.83	0.53
1620	9.04	66.11	1.52	0.61	53.55	0.60
1640	3.19	65.64	1.28	0.53	52.29	0.78
1660	-1.49	65.81	0.88	0.36	50.78	0.89
1680	-3.76	67.45	1.04	0.40	49.31	1.01
1700	-6.41	68.67	1.40	0.51	47.52	1.38
1720	-9.71	67.84	1.54	0.58	45.27	1.58
1740	-12.15	65.91	0.95	0.39	43.09	1.41
1760	-14.11	63.87	0.71	0.31	41.58	1.00
1780	-15.86	61.92	0.82	0.38	41.1	0.62
1800	-16.13	60.49	0.90	0.45	41.75	0.57
1820	-14.99	59.62	0.90	0.45	0	0.00
1840	-13.84	58.59	0.67	0.35	0	0.00
1860	-12.41	56.92	0.83	0.45	0	0.00
1880	-10.06	55.95	0.84	0.47	0	0.00
1900	-6.77	56.4	0.86	0.48	0	0.00
1920	-4.12	57.06	0.71	0.39	0	0.00
1940	-3.06	56.4	0.90	0.50	0	0.00
1960	-2.23	54.71	1.10	0.63	0	0.00
1980	-1	52.75	1.58	0.95	0	0.00
